Feature Set,CV MAE,CV RMSE,CV R2,MAE STD,RMSE STD,R2 STD
Original + Tempering Parameter,31.462200422575194,40.995275747873926,0.9854217560370481,1.1245742397517604,1.5858580991762392,0.0011493486851345753
Original + Both Engineered Features,31.622576039323654,41.24528062859536,0.9852349206817331,1.2578742970098415,1.8423432719745032,0.001351068897173025
Original Features,31.80901350105479,41.257724782125756,0.9851950072339571,1.5521849492634174,2.430052563616429,0.0018293068966575119
Original + Temperature x Time,31.645165502237983,41.324523847418064,0.9851511228603199,1.6623973323759964,2.4739909826841884,0.0017951850205024714
