Feature Set,CV MAE,CV RMSE,CV R2,MAE STD,RMSE STD,R2 STD
Original + Tempering Parameter,0.931269588823778,1.2097534970601678,0.9404270520724058,0.038882262055427844,0.06977847390516606,0.005921333308213815
Original + Both Engineered Features,0.9279551203647498,1.2115830971029244,0.9403006359153212,0.03589872965813205,0.05635585092299325,0.00458279699421657
Original Features,0.9275255293535531,1.2164651039034398,0.9398015877840207,0.034901454912145344,0.05543552395173682,0.0047647626181296695
Original + Temperature x Time,0.9311897211460479,1.2188408509908317,0.9395897767008219,0.03232563861121278,0.04501919422931675,0.0038985209154755057
