Feature Set,CV MAE,CV RMSE,CV R2,MAE STD,RMSE STD,R2 STD
Original + Both Engineered Features,28.981674956272002,38.99411225726293,0.9879430784735922,1.7888400163864158,2.0268828405288537,0.0015824478928917055
Original + Tempering Parameter,28.999909096246654,39.110855108712066,0.9878720642932282,1.921779797715402,2.0447056634452436,0.0015877119398312826
Original + Temperature x Time,29.332691501451176,39.85240754243645,0.9874418183092504,1.4070135034794171,1.7387363721975417,0.0012404909142964156
Original Features,29.738338795830252,40.24503001523304,0.9871948234592169,1.446495658095136,1.9226995297534568,0.001319339407488022
