Feature Set,CV MAE,CV RMSE,CV R2,MAE STD,RMSE STD,R2 STD
Original + Tempering Parameter,1.8532119179401074,2.406209193461867,0.9329389290693653,0.11350666226002326,0.12767400824932243,0.006214410130974437
Original + Both Engineered Features,1.8687021485118236,2.421657659966069,0.9320564510406543,0.11026005588085803,0.13141774448388077,0.006578520184837318
Original + Temperature x Time,1.9059170537872485,2.456816323679695,0.9301042832602011,0.10960068423523703,0.11939197829979653,0.005985091677668181
Original Features,1.8949680903388835,2.4638262545951513,0.9296856424655262,0.11871317287776156,0.1313543840046051,0.0066307362267857784
