Feature Set,CV MAE,CV RMSE,CV R2,MAE STD,RMSE STD,R2 STD
Original + Tempering Parameter,0.6309168762695793,0.8241415047399681,0.994540599996002,0.043649279502853244,0.06423586825033244,0.0009032789557709189
Original + Both Engineered Features,0.6340300998118764,0.8262223963108404,0.994504266803054,0.045995169279670865,0.07215744539160308,0.00101760306698528
Original Features,0.6601786898753124,0.8617660973497425,0.9940326960143107,0.042592087795686004,0.06379597968037878,0.000945803467126384
Original + Temperature x Time,0.6630624666697239,0.8650337129498746,0.9939803868836468,0.04946380376029243,0.07335606230119937,0.0010565104683314577
